run,variant,pinata_account,fl_round,block_type,expected_pin,pin_status,tx_hash,basescan_url,ipfs_hash,pinata_account_actual,date_pinned
baseline_20260525_142812,baseline,1,0,GLOBAL,round_0_global_model,success,0xb67b0c4929364079c15050fef14100024b495835e7c8cf6cf5620ed996c5241a,https://basescan.org/tx/0xb67b0c4929364079c15050fef14100024b495835e7c8cf6cf5620ed996c5241a,QmTzTDaDx2GTqn3AM43harEmViR22BE8qqzXauZc8nwXmF,account_1,2026-05-25T09:28:20
baseline_20260525_142812,baseline,1,0,GLOBAL,round_0_global_metrics,success,0xb67b0c4929364079c15050fef14100024b495835e7c8cf6cf5620ed996c5241a,https://basescan.org/tx/0xb67b0c4929364079c15050fef14100024b495835e7c8cf6cf5620ed996c5241a,QmVScXSrstWrDtf5xSeHTKwznYcTCZwTaNqk1k2yZUQCC2,account_1,2026-05-25T09:28:21
baseline_20260525_142812,baseline,1,1,LOCAL,round_1_local,success,0x5e1e4ee0379b20776056c3c77f3aa572a22f09bae2ee35c1ba4abe4270c9ae60,https://basescan.org/tx/0x5e1e4ee0379b20776056c3c77f3aa572a22f09bae2ee35c1ba4abe4270c9ae60,QmZY5JAknLE4mDTT2m4iHS5R1u2PzpBaq34kbpoVvy7YfT,account_1,2026-05-25T09:30:33
baseline_20260525_142812,baseline,1,1,VOTE,round_1_votes,success,0xe90c3e5164f340e99b2d83c83a2f78c61e9a0ead654f72d650a118a5a408a15e,https://basescan.org/tx/0xe90c3e5164f340e99b2d83c83a2f78c61e9a0ead654f72d650a118a5a408a15e,QmXBEaA4kdmNZXgwPet7Yr61pHpLpYZPQgWJnv1oP2Epnx,account_1,2026-05-25T09:30:34
baseline_20260525_142812,baseline,1,1,GLOBAL,round_1_global_model,success,0x72dbea1db75ee3b7cfc4e7ddc6515a11d583224a1aa19e064c4b7d036053a252,https://basescan.org/tx/0x72dbea1db75ee3b7cfc4e7ddc6515a11d583224a1aa19e064c4b7d036053a252,QmX3YT9z2px7crFN5FZY6VRW3wSmEFEmWtqVcknr2SMbK9,account_1,2026-05-25T09:31:32
baseline_20260525_142812,baseline,1,1,GLOBAL,round_1_global_metrics,success,0x72dbea1db75ee3b7cfc4e7ddc6515a11d583224a1aa19e064c4b7d036053a252,https://basescan.org/tx/0x72dbea1db75ee3b7cfc4e7ddc6515a11d583224a1aa19e064c4b7d036053a252,QmP2FZtNfymCWorRjCBWoY3oZPNMDdbBKAXKdVYy2Hmg7n,account_1,2026-05-25T09:31:33
baseline_20260525_142812,baseline,1,2,LOCAL,round_2_local,success,0x82ae14d2e126331ad8b47376beb41265d84e5c6c0920030f6648856456783691,https://basescan.org/tx/0x82ae14d2e126331ad8b47376beb41265d84e5c6c0920030f6648856456783691,Qmem89vHHE5Z3kEyXD1oLUnveJnvvkVthV95XQZciXaTFJ,account_1,2026-05-25T09:33:24
baseline_20260525_142812,baseline,1,2,VOTE,round_2_votes,success,0x9a18d0055ee4adc35ca8ffe78804149d00dd910d2e9c30b01c5415918cee7b6b,https://basescan.org/tx/0x9a18d0055ee4adc35ca8ffe78804149d00dd910d2e9c30b01c5415918cee7b6b,QmXvEbDFcnxZ1svxcBZW5oHdpD3A8tp977XDNu6CcF4yiM,account_1,2026-05-25T09:33:26
baseline_20260525_142812,baseline,1,2,GLOBAL,round_2_global_model,success,0x938c4b06ffadd5557a9391658478bf4882f669f6362f0823b2f050961164776d,https://basescan.org/tx/0x938c4b06ffadd5557a9391658478bf4882f669f6362f0823b2f050961164776d,QmcuM6tawBPpZsj9xV87Fso9pEkgHi8kHdhL1ENPPVVfWX,account_1,2026-05-25T09:34:37
baseline_20260525_142812,baseline,1,2,GLOBAL,round_2_global_metrics,success,0x938c4b06ffadd5557a9391658478bf4882f669f6362f0823b2f050961164776d,https://basescan.org/tx/0x938c4b06ffadd5557a9391658478bf4882f669f6362f0823b2f050961164776d,QmcNcrkjrbGUNxH6WsXbJJumyAvPkknSYJoekczCLnbiRc,account_1,2026-05-25T09:34:38
baseline_20260525_142812,baseline,1,3,LOCAL,round_3_local,success,0x8917188a172b122e42c7bb7f0df39a6209ab79acc70c6281e95530eae7f2a22b,https://basescan.org/tx/0x8917188a172b122e42c7bb7f0df39a6209ab79acc70c6281e95530eae7f2a22b,QmTspuzishswT6Uvt2pd3MVyWtnwJ2m4rZvJzxqCnjVmV8,account_1,2026-05-25T09:36:23
baseline_20260525_142812,baseline,1,3,VOTE,round_3_votes,success,0x3381ba84ac6ee934b64c06c6b69e846f65dbd669c57e46dd1366f70a294ea325,https://basescan.org/tx/0x3381ba84ac6ee934b64c06c6b69e846f65dbd669c57e46dd1366f70a294ea325,QmXytk8vjFvkuyoH6jSk4iF3fGciSAVcabFRpcguA6CHZT,account_1,2026-05-25T09:36:25
baseline_20260525_142812,baseline,1,3,GLOBAL,round_3_global_model,success,0xfb13d96e9e4ef75448d49ae28eaa7404db6592663a9acc96bfb59025c669ce45,https://basescan.org/tx/0xfb13d96e9e4ef75448d49ae28eaa7404db6592663a9acc96bfb59025c669ce45,QmQb7qdU4FbWnFTDCG6HkVodyf2y59JKGGf36Axftbj43T,account_1,2026-05-25T09:37:10
baseline_20260525_142812,baseline,1,3,GLOBAL,round_3_global_metrics,success,0xfb13d96e9e4ef75448d49ae28eaa7404db6592663a9acc96bfb59025c669ce45,https://basescan.org/tx/0xfb13d96e9e4ef75448d49ae28eaa7404db6592663a9acc96bfb59025c669ce45,QmS1W42DCsdadVsgci5yeRFHCLgfEokoRxBG41kDDrnMMV,account_1,2026-05-25T09:37:11
baseline_20260525_142812,baseline,1,4,LOCAL,round_4_local,success,0xbafd093c1711208f8bb9b9610f2344001f2b7fca118e16098a39e31a053a68b1,https://basescan.org/tx/0xbafd093c1711208f8bb9b9610f2344001f2b7fca118e16098a39e31a053a68b1,Qmf4uwxEpNt1EzvJaKpTwNJDoZfprfs5SYQ59YaKx1894V,account_1,2026-05-25T09:38:54
baseline_20260525_142812,baseline,1,4,VOTE,round_4_votes,success,0x4504d83b531e834f63cc2e3c9b01021d4331a17d9cd2d0c862af18010b12662e,https://basescan.org/tx/0x4504d83b531e834f63cc2e3c9b01021d4331a17d9cd2d0c862af18010b12662e,QmSAm8hSME629ZJP3kfq3A4aYdJ2t5ducVWXGMwbXxvnSN,account_1,2026-05-25T09:38:55
baseline_20260525_142812,baseline,1,4,GLOBAL,round_4_global_model,success,0xcf29241325f708373ae8818c4cc187115e44e2e280d0eed5a6b6f89f248a82a9,https://basescan.org/tx/0xcf29241325f708373ae8818c4cc187115e44e2e280d0eed5a6b6f89f248a82a9,QmNwct71aCcLNtSNgEM6phCZGybKWHas1mTGk21tcexBS3,account_1,2026-05-25T09:39:41
baseline_20260525_142812,baseline,1,4,GLOBAL,round_4_global_metrics,success,0xcf29241325f708373ae8818c4cc187115e44e2e280d0eed5a6b6f89f248a82a9,https://basescan.org/tx/0xcf29241325f708373ae8818c4cc187115e44e2e280d0eed5a6b6f89f248a82a9,QmfWtpmbNzkVkfYc2Zw1tdMwbfeAHN1TQzFKSQHLMra1HB,account_1,2026-05-25T09:39:42
baseline_20260525_142812,baseline,1,5,LOCAL,round_5_local,success,0xec108b50b04b0f2d1753410155906764c2d3cc9c3de1d77313da8061a1dae3c4,https://basescan.org/tx/0xec108b50b04b0f2d1753410155906764c2d3cc9c3de1d77313da8061a1dae3c4,QmPdqxHtoNxvDW6yvHUjrEarjWvRu8Ym5pexGbAUhzqRvE,account_1,2026-05-25T09:41:24
baseline_20260525_142812,baseline,1,5,VOTE,round_5_votes,success,0xfbb84170db7050399d731c6e15097c3c87c06cc9f5ff2e9e7c4ec34a80629b88,https://basescan.org/tx/0xfbb84170db7050399d731c6e15097c3c87c06cc9f5ff2e9e7c4ec34a80629b88,QmYbYak6FfABotN8DSorkTKqwR3ZHhynHnzBZjY8aDykUE,account_1,2026-05-25T09:41:26
baseline_20260525_142812,baseline,1,5,GLOBAL,round_5_global_model,success,0xa81988d6e553d56e98f49e23a9fa397479e7f0fc16f1f30a2ea60485f2b84342,https://basescan.org/tx/0xa81988d6e553d56e98f49e23a9fa397479e7f0fc16f1f30a2ea60485f2b84342,QmXcsva2KDjcsAVyZdGwNyFwh8sZiFeSE2gdiqZ4JNwtXj,account_1,2026-05-25T09:42:21
